Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
"Gabriella Kurniawan, S.Kom","Jl. Sukajadi No. 159, Magelang, JA 34171",+62-05-808-1617,Zakat Perdagangan,559295.5,2023-07-29
Uda Sinaga,"Jl. Sentot Alibasa No. 37, Magelang, MU 43062",+62 (0456) 972 0732,Zakat Perdagangan,215703.42,2024-10-28
"Cinta Gunawan, S.IP","Gang Peta No. 953, Bandung, Nusa Tenggara Timur 09928",+62 (087) 157 0128,Zakat Perdagangan,163702.58,2024-02-17
Faizah Rahayu,"Jl. Suniaraja No. 614, Palu, GO 46031",0841249225,Zakat Perdagangan,170215.03,2025-01-03
R. Lukman Nainggolan,"Jalan Cikapayang No. 0, Subulussalam, BE 34860",+62 (648) 650-2638,Zakat Perdagangan,578911.92,2023-07-22
"Jati Maryadi, M.Farm","Gg. Sadang Serang No. 7, Banjarbaru, KU 77298",+62 (74) 852 5645,Zakat Pertanian,796949,2024-09-03
Rina Hutapea,"Jl. Kendalsari No. 420, Mojokerto, Kalimantan Tengah 29286",+62 (507) 254 2941,Zakat Fitrah,184133.18,2025-04-03
Dodo Maheswara,"Jl. Jayawijaya No. 8, Tangerang Selatan, Sulawesi Utara 68886",+62 (357) 550 5018,Zakat Mal,320843.84,2023-08-12
Ajiono Aryani,"Jl. Suryakencana No. 3, Tasikmalaya, JK 18936",+62 (838) 747-0896,Zakat Penghasilan,248277.81,2024-09-09
Elma Pertiwi,"Jalan Raya Ujungberung No. 8, Singkawang, BT 27313",(007) 107 6902,Zakat Penghasilan,773748.87,2023-07-19
R.A. Aisyah Prayoga,"Gg. BKR No. 02, Bandar Lampung, MA 30664",(0717) 323 9843,Zakat Emas/Perak,463148.34,2024-06-03
"R. Aurora Astuti, S.Sos","Jl. Jakarta No. 1, Mataram, Bengkulu 66166",+62-527-666-9990,Zakat Penghasilan,182159,2024-01-21
Cengkir Hariyah,"Jl. Waringin No. 2, Samarinda, KR 68044",+62 (0004) 297 1563,Zakat Perdagangan,120446.98,2023-08-17
Saka Sihombing,"Jl. Ahmad Yani No. 53, Pekanbaru, Sulawesi Selatan 09432",+62-066-680-3046,Zakat Pertanian,680984.6,2023-11-22
"Dono Wasita, M.Kom.","Gang Moch. Toha No. 4, Pasuruan, Kalimantan Selatan 56822",+62-965-713-0928,Zakat Penghasilan,149445.94,2024-05-28
Maria Maheswara,"Gg. Medokan Ayu No. 84, Semarang, JB 40027",+62 (05) 631-8500,Zakat Perdagangan,179348.46,2024-06-26
Ayu Fujiati,"Jl. Kutisari Selatan No. 2, Kota Administrasi Jakarta Utara, Bali 91134",(051) 410-6933,Zakat Fitrah,395595.73,2025-03-11
Rendy Wijayanti,"Jl. H.J Maemunah No. 57, Gorontalo, JI 29704",+62 (045) 908-9674,Zakat Penghasilan,529464.35,2023-07-02
"Tgk. Elvina Januar, S.IP","Gang Moch. Toha No. 0, Balikpapan, SB 88945",+62-01-449-4963,Zakat Fitrah,101501.39,2024-05-06
Puti Puput Wibowo,"Gang M.H Thamrin No. 00, Tarakan, KU 15259",+62-076-814-2232,Zakat Pertanian,874267.25,2023-11-01
Fitria Situmorang,"Gg. Dr. Djunjunan No. 52, Palu, Sulawesi Selatan 86363",+62 (32) 192 9117,Zakat Fitrah,885669.6,2023-07-06
Ida Yulianti,"Jalan Medokan Ayu No. 10, Kediri, Sumatera Barat 51791",+62 (17) 774 3357,Zakat Mal,321644.39,2023-07-28
Bakda Dabukke,"Gang Indragiri No. 719, Surakarta, Sumatera Barat 32124",(093) 642-6626,Zakat Perdagangan,194003.59,2024-03-30
R. Vega Suryono,"Jl. Erlangga No. 9, Cilegon, Sulawesi Selatan 26082",+62 (804) 309-1849,Zakat Fitrah,894197.81,2024-09-17
Drs. Nadine Budiyanto,"Jl. Surapati No. 85, Sabang, PB 38987",+62 (085) 718 1639,Zakat Perdagangan,444863.15,2024-06-28
"Luthfi Latupono, S.T.","Gang Rajiman No. 55, Blitar, Aceh 67646",+62 (986) 943-1593,Zakat Penghasilan,768614.09,2025-02-03
Tantri Prasetyo,"Jl. Jend. A. Yani No. 6, Medan, Sulawesi Tenggara 67102",+62 (61) 607 5482,Zakat Emas/Perak,305094.36,2023-05-21
"Lamar Latupono, M.Pd","Jalan Abdul Muis No. 5, Pariaman, GO 22910",+62 (289) 432 8949,Zakat Penghasilan,678100.23,2023-06-05
"Heryanto Prayoga, S.Gz","Jl. Ciwastra No. 79, Kota Administrasi Jakarta Selatan, SN 76295",(055) 055 6129,Zakat Penghasilan,715254.33,2024-10-16
Luis Nasyiah,"Jl. Cikutra Barat No. 224, Binjai, KI 99037",+62 (033) 651 2105,Zakat Perdagangan,896437.71,2023-09-18
Eka Puspita,"Gang Pasir Koja No. 5, Dumai, KI 99204",+62-47-854-0472,Zakat Mal,224435.66,2024-01-23
dr. Danu Iswahyudi,"Gang Astana Anyar No. 99, Banda Aceh, BT 61874",+62 (0856) 189-8142,Zakat Emas/Perak,430436.02,2023-05-18
"H. Akarsana Suryatmi, S.Pt","Jalan Astana Anyar No. 228, Palu, Kalimantan Timur 77005",+62 (057) 325 0390,Zakat Mal,239674.93,2024-04-04
Mila Widiastuti,"Jalan Suniaraja No. 99, Pasuruan, Maluku Utara 58872",+62-602-755-7405,Zakat Emas/Perak,541972.86,2024-07-28
"Timbul Pratama, S.Ked","Gg. Raya Ujungberung No. 6, Bukittinggi, Sumatera Utara 24909",+62-0867-058-9649,Zakat Fitrah,29913.36,2024-02-27
Hj. Yunita Pradipta,"Gg. Joyoboyo No. 2, Bitung, JA 68458",+62 (51) 391 2416,Zakat Emas/Perak,276516.1,2024-11-23
"Mutia Utama, S.E.I","Jl. Monginsidi No. 1, Blitar, Papua 93743",+62-96-209-6654,Zakat Mal,899035.41,2023-12-29
Dr. Kambali Budiyanto,"Gg. Moch. Toha No. 423, Pagaralam, SR 82676",0867557597,Zakat Fitrah,371200.4,2024-09-06
Fitria Saputra,"Jalan Waringin No. 9, Mataram, GO 09141",081 654 2741,Zakat Fitrah,393695.5,2024-04-12
Titin Permadi,"Gg. Astana Anyar No. 03, Kota Administrasi Jakarta Utara, Kalimantan Barat 01007",+62 (20) 932 9744,Zakat Perdagangan,139348.25,2025-02-05
Mila Simanjuntak,"Gang Moch. Toha No. 8, Cilegon, DI Yogyakarta 79678",+62 (0627) 534-3585,Zakat Fitrah,838672.43,2024-07-08
"Ir. Empluk Agustina, S.I.Kom","Gg. Bangka Raya No. 09, Surakarta, Sulawesi Utara 72966",0800517985,Zakat Pertanian,179970.56,2023-07-17
Genta Mahendra,"Jl. Rungkut Industri No. 03, Depok, BB 62475",+62 (291) 902 0523,Zakat Emas/Perak,687261.91,2023-10-27
Ghani Palastri,"Gang Merdeka No. 0, Prabumulih, SN 43376",+62 (86) 344-1120,Zakat Pertanian,205540.3,2024-02-14
Tgk. Uchita Yulianti,"Jalan Kendalsari No. 70, Subulussalam, SU 50021",(0840) 328-4880,Zakat Pertanian,507554.49,2024-02-01
Paris Prayoga,"Gg. Ronggowarsito No. 1, Makassar, Kalimantan Tengah 99537",+62-0403-614-3574,Zakat Penghasilan,544624.35,2025-02-21
Winda Hardiansyah,"Jalan M.T Haryono No. 94, Padang, LA 98443",+62-60-045-5368,Zakat Perdagangan,863598.06,2024-12-16
"Harjasa Farida, S.H.","Jalan Pacuan Kuda No. 912, Singkawang, BA 64404",+62 (875) 073 0182,Zakat Mal,903202.98,2025-04-23
Raden Maheswara,"Jalan Abdul Muis No. 431, Palembang, SB 83306",+62-276-988-1689,Zakat Emas/Perak,731188.56,2024-08-14
Daruna Januar,"Gang Raya Setiabudhi No. 183, Batam, DI Yogyakarta 48658",+62-249-469-2592,Zakat Penghasilan,467212.87,2024-06-21
Paulin Permata,"Jl. Cihampelas No. 34, Banjar, GO 15011",+62-19-031-3887,Zakat Perdagangan,762454.81,2024-05-18
dr. Puji Mulyani,"Jalan Rajiman No. 3, Sabang, Sulawesi Selatan 49327",(0124) 384 6210,Zakat Mal,215637.77,2025-04-10
dr. Galar Lestari,"Jalan Joyoboyo No. 4, Bau-Bau, RI 33370",+62 (078) 713 2474,Zakat Fitrah,478888.87,2024-05-14
Salwa Nashiruddin,"Gg. Setiabudhi No. 97, Surabaya, Nusa Tenggara Barat 59360",+62-096-407-1779,Zakat Emas/Perak,486512.22,2023-07-31
Karimah Sihombing,"Jalan Raya Setiabudhi No. 683, Bandung, Nusa Tenggara Timur 63173",+62-508-823-3954,Zakat Emas/Perak,411524.76,2024-03-17
"Dt. Cakrawangsa Zulaika, S.Farm","Gang Gardujati No. 987, Palangkaraya, SB 11474",+62 (034) 803-5364,Zakat Penghasilan,744843.01,2023-08-25
"Vanya Natsir, S.Psi","Jl. Ir. H. Djuanda No. 8, Cilegon, Papua Barat 67315",+62 (58) 282-5253,Zakat Emas/Perak,275428.66,2023-09-18
"R.M. Lanjar Suryono, S.IP","Jalan Waringin No. 957, Cimahi, DI Yogyakarta 88212",+62 (77) 884 9363,Zakat Fitrah,829740.76,2024-06-04
Harjasa Dabukke,"Jalan Ciwastra No. 888, Meulaboh, Maluku Utara 81367",+62 (018) 274 9265,Zakat Emas/Perak,83614.02,2024-03-08
Uchita Tarihoran,"Gg. Asia Afrika No. 723, Gorontalo, PA 37422",+62 (27) 496 6021,Zakat Emas/Perak,757064.23,2023-09-24
"Puji Dongoran, M.Farm","Gg. Merdeka No. 4, Sungai Penuh, JT 98582",+62-34-789-2955,Zakat Pertanian,229992.13,2025-04-27
"Siti Widiastuti, S.T.","Gg. Veteran No. 28, Blitar, ST 30984",+62 (057) 061 9417,Zakat Pertanian,124874.77,2024-10-13
Nadia Samosir,"Gg. Kapten Muslihat No. 83, Pekalongan, Aceh 20731",+62-0724-879-0157,Zakat Mal,314429.47,2024-07-03
Tgk. Latika Sihotang,"Gang BKR No. 006, Tanjungbalai, JI 64900",+62 (059) 260 2298,Zakat Perdagangan,681254.79,2024-09-27
Humaira Riyanti,"Jalan Rajawali Barat No. 5, Cilegon, YO 68318",(080) 233-9206,Zakat Fitrah,432608.46,2024-02-02
Vanya Pratama,"Gg. Raya Ujungberung No. 5, Bandar Lampung, Jawa Barat 47621",+62 (60) 095-1900,Zakat Mal,643201.01,2024-06-30
Yuliana Ramadan,"Jalan Kebonjati No. 63, Kupang, NT 81893",+62 (76) 335 3938,Zakat Mal,619926.75,2024-09-10
"R.A. Faizah Prayoga, S.Kom","Jalan Pasir Koja No. 99, Bontang, Aceh 28653",+62 (0705) 311 2767,Zakat Fitrah,822444.94,2023-05-28
"R.M. Daliono Winarsih, S.I.Kom","Jalan Rumah Sakit No. 4, Bandung, KB 73704",+62-088-666-2532,Zakat Emas/Perak,879785.15,2024-08-18
Puti Kamaria Prayoga,"Jl. Jakarta No. 40, Ambon, DI Yogyakarta 56639",+62 (099) 169-9166,Zakat Emas/Perak,908438.33,2023-11-10
"Ir. Virman Susanti, M.Farm","Jalan Ronggowarsito No. 488, Yogyakarta, NT 18758",+62 (0732) 428 5284,Zakat Pertanian,120273.41,2023-07-06
"Taswir Firgantoro, M.Kom.","Gg. Rungkut Industri No. 206, Tangerang, Jawa Barat 31039",(0637) 767-9127,Zakat Fitrah,705068.46,2024-01-04
"R. Ulva Saefullah, M.TI.","Jl. Suryakencana No. 528, Pasuruan, Nusa Tenggara Barat 25057",+62-0390-684-9110,Zakat Perdagangan,287634.39,2023-08-09
drg. Ilsa Lazuardi,"Gg. Sukabumi No. 31, Tarakan, JI 97123",+62 (889) 562-2659,Zakat Fitrah,261123.49,2024-04-18
"Marsito Hidayanto, S.E.","Jalan Rungkut Industri No. 995, Tegal, BT 59115",+62-056-131-1619,Zakat Penghasilan,460440.04,2023-11-02
"Dt. Asirwada Wijaya, S.I.Kom","Jl. Pasteur No. 2, Makassar, Kalimantan Utara 33383",0828231450,Zakat Perdagangan,357654.71,2025-01-18
Ismail Suryono,"Jl. Rajiman No. 118, Palembang, LA 68306",(0202) 586 1602,Zakat Pertanian,885060.34,2024-06-17
Baktiono Palastri,"Gang Veteran No. 6, Ambon, Kalimantan Timur 85091",(008) 077-7543,Zakat Pertanian,848901.7,2024-05-23
"Cindy Salahudin, S.T.","Jl. Dipatiukur No. 358, Tangerang Selatan, KT 03525",+62-57-067-1624,Zakat Mal,901063.36,2024-03-31
Nurul Hutagalung,"Gg. Jamika No. 8, Dumai, Jambi 33807",+62-60-685-9988,Zakat Fitrah,923150.64,2023-08-02
Hardi Puspasari,"Gg. Surapati No. 00, Kota Administrasi Jakarta Pusat, Kepulauan Riau 32483",+62 (13) 078 5690,Zakat Penghasilan,39338.25,2023-10-26
Olivia Latupono,"Jalan Raya Setiabudhi No. 23, Solok, RI 74567",081 981 7038,Zakat Perdagangan,312952.26,2025-03-20
"Puti Queen Wastuti, M.Farm","Gang Veteran No. 67, Tidore Kepulauan, SN 73064",+62 (38) 721-2099,Zakat Perdagangan,594424.42,2025-02-15
"Nrima Saputra, S.Farm","Jalan Sukabumi No. 507, Probolinggo, SU 66936",+62 (563) 444 5852,Zakat Pertanian,216175.05,2024-03-19
"Raina Mansur, S.IP","Jalan Peta No. 2, Palopo, Maluku 48951",(004) 592 9386,Zakat Fitrah,673865.95,2025-03-18
Kania Rajasa,"Gg. Raya Setiabudhi No. 97, Sungai Penuh, Jawa Barat 53018",+62 (0346) 524-6980,Zakat Mal,803145.67,2023-07-03
Viktor Halimah,"Gang Jakarta No. 2, Singkawang, RI 24749",+62-206-356-0374,Zakat Pertanian,200489.61,2024-03-29
Sabrina Januar,"Jl. Cikutra Barat No. 55, Dumai, ST 05429",+62-0215-033-9914,Zakat Mal,472393.98,2025-04-30
Maya Kuswoyo,"Jl. Merdeka No. 752, Jayapura, Kepulauan Bangka Belitung 15238",(0015) 143 4996,Zakat Pertanian,831691.89,2024-02-08
Rama Utama,"Gang R.E Martadinata No. 0, Palangkaraya, ST 17552",+62 (07) 188 0081,Zakat Fitrah,214485.74,2023-08-26
"Jarwadi Latupono, S.T.","Gg. S. Parman No. 2, Banjar, DI Yogyakarta 32607",+62 (481) 140 3942,Zakat Perdagangan,46648.55,2025-03-20
Puti Kiandra Manullang,"Gang Cihampelas No. 86, Salatiga, PA 82176",+62 (48) 680-9668,Zakat Mal,593995.94,2024-09-07
Farhunnisa Permadi,"Gang Rawamangun No. 087, Binjai, SN 73493",+62 (039) 921 1345,Zakat Pertanian,277067.01,2024-06-03
Ikin Padmasari,"Gg. BKR No. 706, Jayapura, GO 47112",+62-0260-531-7688,Zakat Penghasilan,528663.65,2024-03-25
"Puti Rahmi Fujiati, S.Pd","Gg. Wonoayu No. 9, Medan, KU 54291",(0525) 313 2285,Zakat Fitrah,887916.9,2023-07-02
H. Jarwa Maryadi,"Jalan Ciwastra No. 6, Balikpapan, KB 36858",0803009432,Zakat Pertanian,716756.49,2025-04-10
Bahuraksa Haryanto,"Jl. Rajawali Timur No. 151, Tegal, Papua Barat 54814",(0136) 753-7723,Zakat Perdagangan,511792.35,2023-06-11
Vanya Prastuti,"Jalan Gedebage Selatan No. 96, Pariaman, Sumatera Barat 81788",+62-025-421-6121,Zakat Pertanian,335112.98,2024-12-07
Taswir Wulandari,"Jl. H.J Maemunah No. 5, Binjai, Riau 54212",+62-085-916-7991,Zakat Emas/Perak,83325.04,2024-10-02
Tantri Irawan,"Gang Waringin No. 58, Kendari, GO 42395",+62 (091) 117 4788,Zakat Perdagangan,614728.17,2025-01-26
Bahuwarna Usada,"Jl. Sukajadi No. 15, Kupang, Sulawesi Tenggara 11965",+62 (47) 726-9623,Zakat Pertanian,775331.72,2023-07-28
Rini Narpati,"Gang Gardujati No. 79, Kota Administrasi Jakarta Timur, Kepulauan Riau 43912",+62-830-373-4328,Zakat Penghasilan,480784.93,2024-06-19
Nasim Lazuardi,"Jalan Kapten Muslihat No. 0, Kediri, Kepulauan Riau 16484",+62 (032) 830-7695,Zakat Pertanian,67953.1,2024-12-06
Mutia Nuraini,"Jalan BKR No. 778, Pekanbaru, KS 34008",+62-493-753-8268,Zakat Emas/Perak,236358.83,2023-06-10
Gaman Nainggolan,"Gang Wonoayu No. 64, Sungai Penuh, KR 93464",+62 (020) 601 8967,Zakat Fitrah,632787.65,2024-06-06
Vero Pranowo,"Gg. Sadang Serang No. 57, Pekalongan, KT 54408",(041) 807 7603,Zakat Perdagangan,612301.81,2023-07-04
"Puti Unjani Wijaya, S.Kom","Gang Cihampelas No. 36, Bandung, Jawa Barat 60745",087 321 3673,Zakat Pertanian,287748.45,2023-11-03
Gawati Salahudin,"Jl. Moch. Ramdan No. 0, Sawahlunto, Riau 01628",(0715) 685-6256,Zakat Emas/Perak,441460.94,2024-03-19
Tedi Uwais,"Gang Gardujati No. 140, Tomohon, KB 64521",0847107957,Zakat Mal,479967.52,2024-12-16
Tgk. Putri Wibowo,"Gg. Jamika No. 3, Binjai, NB 88124",(0998) 141 9456,Zakat Perdagangan,99958.8,2025-01-25
Nadine Uyainah,"Gang Astana Anyar No. 2, Bengkulu, JK 30866",+62 (0524) 727 5332,Zakat Penghasilan,573209.78,2024-01-22
"drg. Unggul Haryanto, M.M.","Gang Ir. H. Djuanda No. 04, Pariaman, Bengkulu 71448",+62 (03) 886-2062,Zakat Perdagangan,586055.55,2024-06-13
"drg. Shakila Marbun, S.E.","Jalan Setiabudhi No. 0, Jambi, SB 35762",(0431) 408 5547,Zakat Penghasilan,340275.38,2025-01-02
Kezia Aryani,"Jl. Siliwangi No. 00, Pontianak, KR 45495",081 580 0321,Zakat Fitrah,435831.87,2023-08-18
Azalea Nainggolan,"Gang Kutisari Selatan No. 284, Samarinda, Gorontalo 65623",+62 (0480) 814 9448,Zakat Emas/Perak,881805.16,2024-12-20
Elon Ardianto,"Jalan Ir. H. Djuanda No. 09, Madiun, Maluku 05902",+62 (0925) 222-7002,Zakat Fitrah,902576.32,2023-07-14
"R. Sabrina Prastuti, M.Kom.","Gg. Sukabumi No. 588, Banjarbaru, MU 21860",(027) 179 4124,Zakat Pertanian,71801.03,2024-04-19
"Kusuma Kuswandari, S.I.Kom","Jalan Monginsidi No. 921, Palembang, SN 03870",+62-0700-862-5058,Zakat Perdagangan,372000.91,2024-09-05
"Ir. Amalia Suryatmi, S.I.Kom","Gang Suniaraja No. 191, Sungai Penuh, NT 27784",+62-707-158-7252,Zakat Fitrah,755773.98,2024-08-29
R.A. Laras Lestari,"Gang Moch. Toha No. 365, Malang, KU 34518",(0136) 946-0094,Zakat Penghasilan,807528.71,2024-02-18
Ghaliyati Napitupulu,"Gang Rajawali Barat No. 286, Denpasar, Kepulauan Riau 34497",+62 (169) 919-6521,Zakat Perdagangan,384246.99,2025-01-31
dr. Reksa Prasetyo,"Jl. Merdeka No. 92, Serang, Nusa Tenggara Barat 30733",(067) 105 6190,Zakat Pertanian,83630.19,2024-08-17
"Ir. Paramita Setiawan, M.Kom.","Jalan Soekarno Hatta No. 103, Ternate, Jawa Timur 32905",(0405) 486-2082,Zakat Emas/Perak,805654.14,2025-05-02
"Dr. Surya Widiastuti, S.Kom","Jalan Wonoayu No. 168, Banda Aceh, Nusa Tenggara Timur 97196",+62-15-192-0020,Zakat Pertanian,183302.48,2024-08-21
Akarsana Sirait,"Jl. Pacuan Kuda No. 10, Pariaman, JT 77383",(006) 082-7782,Zakat Emas/Perak,773116.24,2024-11-22
KH. Pranata Farida,"Gang Kutisari Selatan No. 9, Magelang, LA 80927",+62 (012) 040 4317,Zakat Mal,936596.77,2025-03-02
"dr. Tania Agustina, S.Sos","Gg. Rungkut Industri No. 19, Sawahlunto, Sumatera Barat 02286",(028) 760-5966,Zakat Mal,253808.5,2023-08-29
"Jabal Susanti, M.Ak","Jl. Rumah Sakit No. 7, Kota Administrasi Jakarta Barat, Jambi 26371",(098) 002-5638,Zakat Fitrah,377498.41,2024-06-14
Kamidin Winarno,"Gg. Veteran No. 78, Dumai, Sumatera Utara 83130",+62 (0220) 996 1448,Zakat Fitrah,742379.04,2023-08-17
Hj. Umi Zulaika,"Gg. Rawamangun No. 554, Parepare, KI 23048",+62 (0879) 941-8162,Zakat Pertanian,806106.08,2025-02-04
Ir. Endah Permadi,"Jalan Kutisari Selatan No. 4, Kota Administrasi Jakarta Selatan, BB 37592",+62-011-792-0410,Zakat Fitrah,581437.89,2024-12-20
Ajeng Wulandari,"Jalan Rawamangun No. 9, Tomohon, Sulawesi Barat 72867",0839040314,Zakat Fitrah,382220.21,2023-07-04
Ami Wasita,"Jl. Stasiun Wonokromo No. 23, Magelang, Kalimantan Tengah 74940",(0552) 993 8541,Zakat Fitrah,57417.16,2024-04-28
Paramita Halim,"Gang Waringin No. 2, Lubuklinggau, SG 48767",+62-0302-847-2770,Zakat Mal,715461.78,2023-06-29
"Eva Padmasari, M.M.","Jalan Rumah Sakit No. 097, Kendari, AC 28062",+62-52-643-3374,Zakat Perdagangan,318056.45,2023-08-07
T. Bakda Nainggolan,"Gg. Siliwangi No. 197, Malang, BE 00544",(0271) 329 0295,Zakat Perdagangan,716932.82,2024-08-24
"Saadat Wacana, M.TI.","Gang Soekarno Hatta No. 74, Blitar, PB 89480",+62 (72) 977 3430,Zakat Perdagangan,121297.59,2023-11-20
Lidya Purwanti,"Gg. Pacuan Kuda No. 266, Langsa, Sumatera Barat 51349",(009) 789 2735,Zakat Fitrah,445565.97,2023-09-27
Drs. Usyi Gunarto,"Jl. Siliwangi No. 6, Pagaralam, YO 35787",+62 (019) 514-7696,Zakat Penghasilan,482156.41,2023-10-26
Warsa Sinaga,"Jl. Pacuan Kuda No. 70, Jayapura, Papua 30513",+62 (0214) 586 2921,Zakat Fitrah,87874.73,2024-04-20
Dacin Ramadan,"Jl. Joyoboyo No. 093, Dumai, BT 85476",+62 (0321) 854 6667,Zakat Fitrah,870227.13,2024-08-12
Drs. Bakidin Wibowo,"Gg. Rungkut Industri No. 778, Tual, Nusa Tenggara Timur 64733",(0677) 634 8331,Zakat Pertanian,196773.37,2023-10-28
Cahya Susanti,"Gg. Ciwastra No. 0, Tasikmalaya, Kepulauan Riau 26977",086 360 7726,Zakat Mal,919677.79,2024-10-14
"T. Malik Hariyah, S.T.","Gang HOS. Cokroaminoto No. 6, Kota Administrasi Jakarta Barat, SG 10068",+62 (0428) 409-6945,Zakat Fitrah,897549.11,2024-08-20
Hasna Anggriawan,"Jalan Ahmad Dahlan No. 85, Bekasi, Maluku Utara 19798",+62-032-193-5098,Zakat Pertanian,860818.83,2024-07-12
Zamira Hidayat,"Jalan Kebonjati No. 31, Kupang, Jawa Tengah 04217",+62-001-342-0043,Zakat Penghasilan,831203.35,2024-05-29
Harja Utami,"Jl. Pelajar Pejuang No. 0, Pekalongan, Riau 96586",+62 (005) 167-5486,Zakat Pertanian,752904.36,2024-04-02
"dr. Pandu Uyainah, S.Pt","Jalan Ronggowarsito No. 16, Surakarta, Kepulauan Bangka Belitung 20389",+62 (83) 499-8009,Zakat Penghasilan,168728.54,2024-06-16
"Garda Saefullah, S.Psi","Gg. Rajawali Barat No. 78, Tanjungbalai, KB 16312",+62 (830) 989-2412,Zakat Perdagangan,669460.13,2024-04-06
Nasim Uwais,"Jl. Kiaracondong No. 34, Pariaman, Sumatera Barat 71688",+62 (97) 588-6799,Zakat Fitrah,72305.44,2023-11-20
"Wakiman Nurdiyanti, S.Gz","Gang Gedebage Selatan No. 3, Cimahi, Sumatera Utara 89272",(035) 439-7606,Zakat Mal,241482.88,2023-07-18
"Viman Nashiruddin, S.T.","Jalan Moch. Toha No. 771, Lhokseumawe, YO 20006",(023) 785-6066,Zakat Mal,949595.51,2024-09-19
"Ulva Anggraini, S.T.","Gg. PHH. Mustofa No. 062, Pekalongan, Kalimantan Timur 92320",+62 (0519) 727 8342,Zakat Emas/Perak,589403.68,2024-08-05
Fitriani Widiastuti,"Jl. Pacuan Kuda No. 5, Ternate, GO 06637",(038) 185 9458,Zakat Fitrah,893673.91,2024-05-07
Danuja Nugroho,"Jalan Jend. Sudirman No. 8, Bukittinggi, Riau 41581",+62 (032) 851 7581,Zakat Perdagangan,342665.57,2023-05-21
"Kasusra Hartati, S.Ked","Gg. Cikutra Barat No. 39, Padangpanjang, Jambi 76509",+62-014-785-2268,Zakat Pertanian,797012.36,2023-12-27
Julia Wibowo,"Jalan Jamika No. 09, Pangkalpinang, MA 75149",081 710 0218,Zakat Pertanian,540038.43,2023-10-08
Pranawa Tarihoran,"Gang Rajiman No. 155, Tomohon, Kepulauan Riau 05576",+62-20-171-6721,Zakat Perdagangan,567531.52,2024-09-05
"Paulin Kuswandari, S.Pd","Gang Abdul Muis No. 859, Denpasar, KI 58781",+62 (084) 491 6250,Zakat Mal,911552.78,2023-06-12
"Tgk. Gabriella Jailani, S.Pt","Gang Rawamangun No. 2, Tarakan, Bali 94962",+62 (048) 088 9992,Zakat Perdagangan,960696.48,2023-08-21
Nadia Halim,"Jl. Yos Sudarso No. 77, Kota Administrasi Jakarta Barat, Papua Barat 72461",(028) 296 3046,Zakat Penghasilan,856161.09,2023-12-27
"Dr. Fitria Puspita, S.Gz","Gg. Ahmad Yani No. 8, Malang, KR 03306",+62 (99) 869 1737,Zakat Perdagangan,381477.03,2023-06-05
"Edward Hassanah, S.Ked","Gg. Veteran No. 71, Ternate, BT 74318",+62-069-074-7917,Zakat Emas/Perak,566098.86,2023-07-01
"Cayadi Marpaung, S.Kom","Jl. Siliwangi No. 131, Kota Administrasi Jakarta Timur, KR 75222",(0662) 611 8786,Zakat Fitrah,376664.94,2023-08-03
Pranata Laksmiwati,"Gg. Abdul Muis No. 148, Batu, Sulawesi Utara 29766",+62 (0691) 115 4933,Zakat Perdagangan,248299.57,2024-05-01
Mila Agustina,"Gg. K.H. Wahid Hasyim No. 33, Sabang, KU 63731",+62 (072) 454 3392,Zakat Fitrah,916022.78,2023-06-08
"Usman Pradana, S.Pt","Jalan Stasiun Wonokromo No. 77, Gorontalo, SB 31834",+62 (43) 075-4898,Zakat Mal,435314.35,2024-04-12
Rudi Pudjiastuti,"Jalan K.H. Wahid Hasyim No. 06, Pangkalpinang, Sulawesi Barat 72184",+62 (0468) 519 0197,Zakat Perdagangan,821763.46,2024-10-28
"Maryanto Zulaika, S.Kom","Gg. Soekarno Hatta No. 193, Salatiga, Kalimantan Utara 31678",080 113 4058,Zakat Perdagangan,809840.69,2023-11-22
Luwar Adriansyah,"Gang Raya Ujungberung No. 7, Tanjungpinang, AC 18117",(063) 618 1212,Zakat Penghasilan,193461.94,2024-11-15
Warsa Purnawati,"Gg. Kutisari Selatan No. 15, Madiun, KS 95584",+62 (53) 068-0369,Zakat Emas/Perak,699817.74,2024-10-03
Ir. Iriana Nugroho,"Jl. Jamika No. 758, Tanjungpinang, KS 91558",087 735 2514,Zakat Mal,530556.26,2025-03-12
"Edison Halimah, M.Ak","Gang Moch. Ramdan No. 7, Sawahlunto, Sumatera Utara 60271",+62-0299-116-3013,Zakat Emas/Perak,767063.2,2024-05-03
Bagas Kusumo,"Jalan Ir. H. Djuanda No. 646, Sukabumi, Kalimantan Barat 58981",(0296) 207 6309,Zakat Penghasilan,851142.43,2025-03-19
"Rahmi Dongoran, S.T.","Jl. Raya Setiabudhi No. 99, Pangkalpinang, Kalimantan Barat 22707",(0258) 615-5159,Zakat Pertanian,167329.6,2023-05-30
Titin Yolanda,"Gg. Kiaracondong No. 36, Lhokseumawe, Papua Barat 46637",(024) 535-4352,Zakat Mal,356296.53,2024-03-02
Makuta Hidayat,"Gg. Ronggowarsito No. 79, Palembang, Kalimantan Timur 91984",+62-17-086-3193,Zakat Penghasilan,952065.6,2025-02-19
"Kenes Siregar, S.Ked","Jalan Peta No. 915, Bandar Lampung, Gorontalo 78482",+62 (694) 244-3098,Zakat Perdagangan,170240.13,2024-07-02
