Nama,Alamat,No HP,Jenis Zakat,Jumlah (Rp),Tanggal Pembayaran
MAIDA MANGUNSONG,"Jalan KH Amin Jasuta No. 262, Banjarbaru, KI 53479",+62 (543) 893-8983,Zakat Fitrah,361436.99900000007,2024-02-09
MAHFUD PUSPASARI,"Jalan Ir. H. Djuanda No. 5, Tebingtinggi, Kalimantan Barat 19413",+62-0593-577-6673,Zakat Perdagangan,783600.0370000001,2023-07-23
R. GADUH NURAINI,"Jalan Erlangga No. 771, Probolinggo, Jawa Timur 68514",(0307) 374 5046,Zakat Fitrah,873660.403,2023-05-17
BETANIA PRADIPTA,"Gang W.R. Supratman No. 1, Bogor, Sumatera Barat 95876",+62 (0206) 140-3782,Zakat Mal,491696.26,2025-03-16
WAKIMAN SINAGA,"Jalan Sukabumi No. 1, Prabumulih, Sulawesi Selatan 01799",+62 (080) 641 5295,Zakat Penghasilan,723603.5070000001,2023-10-24
BALA PURWANTI,"Gang Suryakencana No. 090, Pagaralam, KI 90022",+62-091-240-8846,Zakat Fitrah,610990.908,2024-03-15
SALWA FARIDA,"Gg. Asia Afrika No. 701, Cirebon, Papua 61020",(0292) 329 7629,Zakat Mal,939648.996,2023-12-11
"GABRIELLA KURNIAWAN, S.KOM","Jl. Sukajadi No. 159, Magelang, JA 34171",+62-05-808-1617,Zakat Perdagangan,615225.05,2023-07-29
UDA SINAGA,"Jl. Sentot Alibasa No. 37, Magelang, MU 43062",+62 (0456) 972 0732,Zakat Perdagangan,237273.76200000005,2024-10-28
"CINTA GUNAWAN, S.IP","Gang Peta No. 953, Bandung, Nusa Tenggara Timur 09928",+62 (087) 157 0128,Zakat Perdagangan,180072.838,2024-02-17
FAIZAH RAHAYU,"Jl. Suniaraja No. 614, Palu, GO 46031",0841249225,Zakat Perdagangan,187236.533,2025-01-03
R. LUKMAN NAINGGOLAN,"Jalan Cikapayang No. 0, Subulussalam, BE 34860",+62 (648) 650-2638,Zakat Perdagangan,636803.1120000001,2023-07-22
"JATI MARYADI, M.FARM","Gg. Sadang Serang No. 7, Banjarbaru, KU 77298",+62 (74) 852 5645,Zakat Pertanian,876643.9,2024-09-03
RINA HUTAPEA,"Jl. Kendalsari No. 420, Mojokerto, Kalimantan Tengah 29286",+62 (507) 254 2941,Zakat Fitrah,202546.498,2025-04-03
DODO MAHESWARA,"Jl. Jayawijaya No. 8, Tangerang Selatan, Sulawesi Utara 68886",+62 (357) 550 5018,Zakat Mal,352928.22400000005,2023-08-12
AJIONO ARYANI,"Jl. Suryakencana No. 3, Tasikmalaya, JK 18936",+62 (838) 747-0896,Zakat Penghasilan,273105.591,2024-09-09
ELMA PERTIWI,"Jalan Raya Ujungberung No. 8, Singkawang, BT 27313",(007) 107 6902,Zakat Penghasilan,851123.7570000001,2023-07-19
R.A. AISYAH PRAYOGA,"Gg. BKR No. 02, Bandar Lampung, MA 30664",(0717) 323 9843,Zakat Emas/Perak,509463.17400000006,2024-06-03
"R. AURORA ASTUTI, S.SOS","Jl. Jakarta No. 1, Mataram, Bengkulu 66166",+62-527-666-9990,Zakat Penghasilan,200374.9,2024-01-21
CENGKIR HARIYAH,"Jl. Waringin No. 2, Samarinda, KR 68044",+62 (0004) 297 1563,Zakat Perdagangan,132491.678,2023-08-17
SAKA SIHOMBING,"Jl. Ahmad Yani No. 53, Pekanbaru, Sulawesi Selatan 09432",+62-066-680-3046,Zakat Pertanian,749083.06,2023-11-22
"DONO WASITA, M.KOM.","Gang Moch. Toha No. 4, Pasuruan, Kalimantan Selatan 56822",+62-965-713-0928,Zakat Penghasilan,164390.534,2024-05-28
MARIA MAHESWARA,"Gg. Medokan Ayu No. 84, Semarang, JB 40027",+62 (05) 631-8500,Zakat Perdagangan,197283.306,2024-06-26
AYU FUJIATI,"Jl. Kutisari Selatan No. 2, Kota Administrasi Jakarta Utara, Bali 91134",(051) 410-6933,Zakat Fitrah,435155.303,2025-03-11
RENDY WIJAYANTI,"Jl. H.J Maemunah No. 57, Gorontalo, JI 29704",+62 (045) 908-9674,Zakat Penghasilan,582410.785,2023-07-02
"TGK. ELVINA JANUAR, S.IP","Gang Moch. Toha No. 0, Balikpapan, SB 88945",+62-01-449-4963,Zakat Fitrah,111651.529,2024-05-06
PUTI PUPUT WIBOWO,"Gang M.H Thamrin No. 00, Tarakan, KU 15259",+62-076-814-2232,Zakat Pertanian,961693.975,2023-11-01
FITRIA SITUMORANG,"Gg. Dr. Djunjunan No. 52, Palu, Sulawesi Selatan 86363",+62 (32) 192 9117,Zakat Fitrah,974236.56,2023-07-06
IDA YULIANTI,"Jalan Medokan Ayu No. 10, Kediri, Sumatera Barat 51791",+62 (17) 774 3357,Zakat Mal,353808.829,2023-07-28
BAKDA DABUKKE,"Gang Indragiri No. 719, Surakarta, Sumatera Barat 32124",(093) 642-6626,Zakat Perdagangan,213403.949,2024-03-30
R. VEGA SURYONO,"Jl. Erlangga No. 9, Cilegon, Sulawesi Selatan 26082",+62 (804) 309-1849,Zakat Fitrah,983617.591,2024-09-17
DRS. NADINE BUDIYANTO,"Jl. Surapati No. 85, Sabang, PB 38987",+62 (085) 718 1639,Zakat Perdagangan,489349.4650000001,2024-06-28
"LUTHFI LATUPONO, S.T.","Gang Rajiman No. 55, Blitar, Aceh 67646",+62 (986) 943-1593,Zakat Penghasilan,845475.4990000001,2025-02-03
TANTRI PRASETYO,"Jl. Jend. A. Yani No. 6, Medan, Sulawesi Tenggara 67102",+62 (61) 607 5482,Zakat Emas/Perak,335603.79600000003,2023-05-21
"LAMAR LATUPONO, M.PD","Jalan Abdul Muis No. 5, Pariaman, GO 22910",+62 (289) 432 8949,Zakat Penghasilan,745910.253,2023-06-05
"HERYANTO PRAYOGA, S.GZ","Jl. Ciwastra No. 79, Kota Administrasi Jakarta Selatan, SN 76295",(055) 055 6129,Zakat Penghasilan,786779.763,2024-10-16
LUIS NASYIAH,"Jl. Cikutra Barat No. 224, Binjai, KI 99037",+62 (033) 651 2105,Zakat Perdagangan,986081.481,2023-09-18
EKA PUSPITA,"Gang Pasir Koja No. 5, Dumai, KI 99204",+62-47-854-0472,Zakat Mal,246879.226,2024-01-23
DR. DANU ISWAHYUDI,"Gang Astana Anyar No. 99, Banda Aceh, BT 61874",+62 (0856) 189-8142,Zakat Emas/Perak,473479.622,2023-05-18
"H. AKARSANA SURYATMI, S.PT","Jalan Astana Anyar No. 228, Palu, Kalimantan Timur 77005",+62 (057) 325 0390,Zakat Mal,263642.423,2024-04-04
MILA WIDIASTUTI,"Jalan Suniaraja No. 99, Pasuruan, Maluku Utara 58872",+62-602-755-7405,Zakat Emas/Perak,596170.1460000001,2024-07-28
"TIMBUL PRATAMA, S.KED","Gg. Raya Ujungberung No. 6, Bukittinggi, Sumatera Utara 24909",+62-0867-058-9649,Zakat Fitrah,32904.696,2024-02-27
HJ. YUNITA PRADIPTA,"Gg. Joyoboyo No. 2, Bitung, JA 68458",+62 (51) 391 2416,Zakat Emas/Perak,304167.71,2024-11-23
"MUTIA UTAMA, S.E.I","Jl. Monginsidi No. 1, Blitar, Papua 93743",+62-96-209-6654,Zakat Mal,988938.951,2023-12-29
DR. KAMBALI BUDIYANTO,"Gg. Moch. Toha No. 423, Pagaralam, SR 82676",0867557597,Zakat Fitrah,408320.44000000006,2024-09-06
FITRIA SAPUTRA,"Jalan Waringin No. 9, Mataram, GO 09141",081 654 2741,Zakat Fitrah,433065.0500000001,2024-04-12
TITIN PERMADI,"Gg. Astana Anyar No. 03, Kota Administrasi Jakarta Utara, Kalimantan Barat 01007",+62 (20) 932 9744,Zakat Perdagangan,153283.075,2025-02-05
MILA SIMANJUNTAK,"Gang Moch. Toha No. 8, Cilegon, DI Yogyakarta 79678",+62 (0627) 534-3585,Zakat Fitrah,922539.6730000002,2024-07-08
"IR. EMPLUK AGUSTINA, S.I.KOM","Gg. Bangka Raya No. 09, Surakarta, Sulawesi Utara 72966",0800517985,Zakat Pertanian,197967.616,2023-07-17
GENTA MAHENDRA,"Jl. Rungkut Industri No. 03, Depok, BB 62475",+62 (291) 902 0523,Zakat Emas/Perak,755988.1010000001,2023-10-27
GHANI PALASTRI,"Gang Merdeka No. 0, Prabumulih, SN 43376",+62 (86) 344-1120,Zakat Pertanian,226094.33,2024-02-14
TGK. UCHITA YULIANTI,"Jalan Kendalsari No. 70, Subulussalam, SU 50021",(0840) 328-4880,Zakat Pertanian,558309.939,2024-02-01
PARIS PRAYOGA,"Gg. Ronggowarsito No. 1, Makassar, Kalimantan Tengah 99537",+62-0403-614-3574,Zakat Penghasilan,599086.785,2025-02-21
WINDA HARDIANSYAH,"Jalan M.T Haryono No. 94, Padang, LA 98443",+62-60-045-5368,Zakat Perdagangan,949957.8660000002,2024-12-16
"HARJASA FARIDA, S.H.","Jalan Pacuan Kuda No. 912, Singkawang, BA 64404",+62 (875) 073 0182,Zakat Mal,993523.278,2025-04-23
RADEN MAHESWARA,"Jalan Abdul Muis No. 431, Palembang, SB 83306",+62-276-988-1689,Zakat Emas/Perak,804307.4160000001,2024-08-14
DARUNA JANUAR,"Gang Raya Setiabudhi No. 183, Batam, DI Yogyakarta 48658",+62-249-469-2592,Zakat Penghasilan,513934.15700000006,2024-06-21
PAULIN PERMATA,"Jl. Cihampelas No. 34, Banjar, GO 15011",+62-19-031-3887,Zakat Perdagangan,838700.2910000001,2024-05-18
DR. PUJI MULYANI,"Jalan Rajiman No. 3, Sabang, Sulawesi Selatan 49327",(0124) 384 6210,Zakat Mal,237201.547,2025-04-10
DR. GALAR LESTARI,"Jalan Joyoboyo No. 4, Bau-Bau, RI 33370",+62 (078) 713 2474,Zakat Fitrah,526777.757,2024-05-14
SALWA NASHIRUDDIN,"Gg. Setiabudhi No. 97, Surabaya, Nusa Tenggara Barat 59360",+62-096-407-1779,Zakat Emas/Perak,535163.442,2023-07-31
KARIMAH SIHOMBING,"Jalan Raya Setiabudhi No. 683, Bandung, Nusa Tenggara Timur 63173",+62-508-823-3954,Zakat Emas/Perak,452677.236,2024-03-17
"DT. CAKRAWANGSA ZULAIKA, S.FARM","Gang Gardujati No. 987, Palangkaraya, SB 11474",+62 (034) 803-5364,Zakat Penghasilan,819327.3110000001,2023-08-25
"VANYA NATSIR, S.PSI","Jl. Ir. H. Djuanda No. 8, Cilegon, Papua Barat 67315",+62 (58) 282-5253,Zakat Emas/Perak,302971.526,2023-09-18
"R.M. LANJAR SURYONO, S.IP","Jalan Waringin No. 957, Cimahi, DI Yogyakarta 88212",+62 (77) 884 9363,Zakat Fitrah,912714.836,2024-06-04
HARJASA DABUKKE,"Jalan Ciwastra No. 888, Meulaboh, Maluku Utara 81367",+62 (018) 274 9265,Zakat Emas/Perak,91975.422,2024-03-08
UCHITA TARIHORAN,"Gg. Asia Afrika No. 723, Gorontalo, PA 37422",+62 (27) 496 6021,Zakat Emas/Perak,832770.653,2023-09-24
"PUJI DONGORAN, M.FARM","Gg. Merdeka No. 4, Sungai Penuh, JT 98582",+62-34-789-2955,Zakat Pertanian,252991.343,2025-04-27
"SITI WIDIASTUTI, S.T.","Gg. Veteran No. 28, Blitar, ST 30984",+62 (057) 061 9417,Zakat Pertanian,137362.247,2024-10-13
NADIA SAMOSIR,"Gg. Kapten Muslihat No. 83, Pekalongan, Aceh 20731",+62-0724-879-0157,Zakat Mal,345872.417,2024-07-03
TGK. LATIKA SIHOTANG,"Gang BKR No. 006, Tanjungbalai, JI 64900",+62 (059) 260 2298,Zakat Perdagangan,749380.2690000001,2024-09-27
HUMAIRA RIYANTI,"Jalan Rajawali Barat No. 5, Cilegon, YO 68318",(080) 233-9206,Zakat Fitrah,475869.306,2024-02-02
VANYA PRATAMA,"Gg. Raya Ujungberung No. 5, Bandar Lampung, Jawa Barat 47621",+62 (60) 095-1900,Zakat Mal,707521.111,2024-06-30
YULIANA RAMADAN,"Jalan Kebonjati No. 63, Kupang, NT 81893",+62 (76) 335 3938,Zakat Mal,681919.425,2024-09-10
"R.A. FAIZAH PRAYOGA, S.KOM","Jalan Pasir Koja No. 99, Bontang, Aceh 28653",+62 (0705) 311 2767,Zakat Fitrah,904689.434,2023-05-28
"R.M. DALIONO WINARSIH, S.I.KOM","Jalan Rumah Sakit No. 4, Bandung, KB 73704",+62-088-666-2532,Zakat Emas/Perak,967763.6650000002,2024-08-18
PUTI KAMARIA PRAYOGA,"Jl. Jakarta No. 40, Ambon, DI Yogyakarta 56639",+62 (099) 169-9166,Zakat Emas/Perak,999282.163,2023-11-10
"IR. VIRMAN SUSANTI, M.FARM","Jalan Ronggowarsito No. 488, Yogyakarta, NT 18758",+62 (0732) 428 5284,Zakat Pertanian,132300.75100000002,2023-07-06
"TASWIR FIRGANTORO, M.KOM.","Gg. Rungkut Industri No. 206, Tangerang, Jawa Barat 31039",(0637) 767-9127,Zakat Fitrah,775575.306,2024-01-04
"R. ULVA SAEFULLAH, M.TI.","Jl. Suryakencana No. 528, Pasuruan, Nusa Tenggara Barat 25057",+62-0390-684-9110,Zakat Perdagangan,316397.829,2023-08-09
DRG. ILSA LAZUARDI,"Gg. Sukabumi No. 31, Tarakan, JI 97123",+62 (889) 562-2659,Zakat Fitrah,287235.83900000004,2024-04-18
"MARSITO HIDAYANTO, S.E.","Jalan Rungkut Industri No. 995, Tegal, BT 59115",+62-056-131-1619,Zakat Penghasilan,506484.044,2023-11-02
"DT. ASIRWADA WIJAYA, S.I.KOM","Jl. Pasteur No. 2, Makassar, Kalimantan Utara 33383",0828231450,Zakat Perdagangan,393420.181,2025-01-18
ISMAIL SURYONO,"Jl. Rajiman No. 118, Palembang, LA 68306",(0202) 586 1602,Zakat Pertanian,973566.374,2024-06-17
BAKTIONO PALASTRI,"Gang Veteran No. 6, Ambon, Kalimantan Timur 85091",(008) 077-7543,Zakat Pertanian,933791.87,2024-05-23
"CINDY SALAHUDIN, S.T.","Jl. Dipatiukur No. 358, Tangerang Selatan, KT 03525",+62-57-067-1624,Zakat Mal,991169.696,2024-03-31
NURUL HUTAGALUNG,"Gg. Jamika No. 8, Dumai, Jambi 33807",+62-60-685-9988,Zakat Fitrah,1015465.704,2023-08-02
HARDI PUSPASARI,"Gg. Surapati No. 00, Kota Administrasi Jakarta Pusat, Kepulauan Riau 32483",+62 (13) 078 5690,Zakat Penghasilan,43272.075,2023-10-26
OLIVIA LATUPONO,"Jalan Raya Setiabudhi No. 23, Solok, RI 74567",081 981 7038,Zakat Perdagangan,344247.48600000003,2025-03-20
"PUTI QUEEN WASTUTI, M.FARM","Gang Veteran No. 67, Tidore Kepulauan, SN 73064",+62 (38) 721-2099,Zakat Perdagangan,653866.8620000001,2025-02-15
"NRIMA SAPUTRA, S.FARM","Jalan Sukabumi No. 507, Probolinggo, SU 66936",+62 (563) 444 5852,Zakat Pertanian,237792.555,2024-03-19
"RAINA MANSUR, S.IP","Jalan Peta No. 2, Palopo, Maluku 48951",(004) 592 9386,Zakat Fitrah,741252.545,2025-03-18
KANIA RAJASA,"Gg. Raya Setiabudhi No. 97, Sungai Penuh, Jawa Barat 53018",+62 (0346) 524-6980,Zakat Mal,883460.2370000001,2023-07-03
VIKTOR HALIMAH,"Gang Jakarta No. 2, Singkawang, RI 24749",+62-206-356-0374,Zakat Pertanian,220538.571,2024-03-29
SABRINA JANUAR,"Jl. Cikutra Barat No. 55, Dumai, ST 05429",+62-0215-033-9914,Zakat Mal,519633.378,2025-04-30
MAYA KUSWOYO,"Jl. Merdeka No. 752, Jayapura, Kepulauan Bangka Belitung 15238",(0015) 143 4996,Zakat Pertanian,914861.079,2024-02-08
RAMA UTAMA,"Gang R.E Martadinata No. 0, Palangkaraya, ST 17552",+62 (07) 188 0081,Zakat Fitrah,235934.314,2023-08-26
"JARWADI LATUPONO, S.T.","Gg. S. Parman No. 2, Banjar, DI Yogyakarta 32607",+62 (481) 140 3942,Zakat Perdagangan,51313.405000000006,2025-03-20
PUTI KIANDRA MANULLANG,"Gang Cihampelas No. 86, Salatiga, PA 82176",+62 (48) 680-9668,Zakat Mal,653395.534,2024-09-07
FARHUNNISA PERMADI,"Gang Rawamangun No. 087, Binjai, SN 73493",+62 (039) 921 1345,Zakat Pertanian,304773.711,2024-06-03
IKIN PADMASARI,"Gg. BKR No. 706, Jayapura, GO 47112",+62-0260-531-7688,Zakat Penghasilan,581530.0150000001,2024-03-25
"PUTI RAHMI FUJIATI, S.PD","Gg. Wonoayu No. 9, Medan, KU 54291",(0525) 313 2285,Zakat Fitrah,976708.59,2023-07-02
H. JARWA MARYADI,"Jalan Ciwastra No. 6, Balikpapan, KB 36858",0803009432,Zakat Pertanian,788432.1390000001,2025-04-10
BAHURAKSA HARYANTO,"Jl. Rajawali Timur No. 151, Tegal, Papua Barat 54814",(0136) 753-7723,Zakat Perdagangan,562971.585,2023-06-11
VANYA PRASTUTI,"Jalan Gedebage Selatan No. 96, Pariaman, Sumatera Barat 81788",+62-025-421-6121,Zakat Pertanian,368624.278,2024-12-07
TASWIR WULANDARI,"Jl. H.J Maemunah No. 5, Binjai, Riau 54212",+62-085-916-7991,Zakat Emas/Perak,91657.544,2024-10-02
TANTRI IRAWAN,"Gang Waringin No. 58, Kendari, GO 42395",+62 (091) 117 4788,Zakat Perdagangan,676200.9870000001,2025-01-26
BAHUWARNA USADA,"Jl. Sukajadi No. 15, Kupang, Sulawesi Tenggara 11965",+62 (47) 726-9623,Zakat Pertanian,852864.892,2023-07-28
RINI NARPATI,"Gang Gardujati No. 79, Kota Administrasi Jakarta Timur, Kepulauan Riau 43912",+62-830-373-4328,Zakat Penghasilan,528863.4230000001,2024-06-19
NASIM LAZUARDI,"Jalan Kapten Muslihat No. 0, Kediri, Kepulauan Riau 16484",+62 (032) 830-7695,Zakat Pertanian,74748.41000000002,2024-12-06
MUTIA NURAINI,"Jalan BKR No. 778, Pekanbaru, KS 34008",+62-493-753-8268,Zakat Emas/Perak,259994.713,2023-06-10
GAMAN NAINGGOLAN,"Gang Wonoayu No. 64, Sungai Penuh, KR 93464",+62 (020) 601 8967,Zakat Fitrah,696066.415,2024-06-06
VERO PRANOWO,"Gg. Sadang Serang No. 57, Pekalongan, KT 54408",(041) 807 7603,Zakat Perdagangan,673531.9910000002,2023-07-04
"PUTI UNJANI WIJAYA, S.KOM","Gang Cihampelas No. 36, Bandung, Jawa Barat 60745",087 321 3673,Zakat Pertanian,316523.29500000004,2023-11-03
GAWATI SALAHUDIN,"Jl. Moch. Ramdan No. 0, Sawahlunto, Riau 01628",(0715) 685-6256,Zakat Emas/Perak,485607.034,2024-03-19
TEDI UWAIS,"Gang Gardujati No. 140, Tomohon, KB 64521",0847107957,Zakat Mal,527964.2720000001,2024-12-16
TGK. PUTRI WIBOWO,"Gg. Jamika No. 3, Binjai, NB 88124",(0998) 141 9456,Zakat Perdagangan,109954.68,2025-01-25
NADINE UYAINAH,"Gang Astana Anyar No. 2, Bengkulu, JK 30866",+62 (0524) 727 5332,Zakat Penghasilan,630530.758,2024-01-22
"DRG. UNGGUL HARYANTO, M.M.","Gang Ir. H. Djuanda No. 04, Pariaman, Bengkulu 71448",+62 (03) 886-2062,Zakat Perdagangan,644661.1050000001,2024-06-13
"DRG. SHAKILA MARBUN, S.E.","Jalan Setiabudhi No. 0, Jambi, SB 35762",(0431) 408 5547,Zakat Penghasilan,374302.91800000006,2025-01-02
KEZIA ARYANI,"Jl. Siliwangi No. 00, Pontianak, KR 45495",081 580 0321,Zakat Fitrah,479415.057,2023-08-18
AZALEA NAINGGOLAN,"Gang Kutisari Selatan No. 284, Samarinda, Gorontalo 65623",+62 (0480) 814 9448,Zakat Emas/Perak,969985.676,2024-12-20
ELON ARDIANTO,"Jalan Ir. H. Djuanda No. 09, Madiun, Maluku 05902",+62 (0925) 222-7002,Zakat Fitrah,992833.952,2023-07-14
"R. SABRINA PRASTUTI, M.KOM.","Gg. Sukabumi No. 588, Banjarbaru, MU 21860",(027) 179 4124,Zakat Pertanian,78981.133,2024-04-19
"KUSUMA KUSWANDARI, S.I.KOM","Jalan Monginsidi No. 921, Palembang, SN 03870",+62-0700-862-5058,Zakat Perdagangan,409201.001,2024-09-05
"IR. AMALIA SURYATMI, S.I.KOM","Gang Suniaraja No. 191, Sungai Penuh, NT 27784",+62-707-158-7252,Zakat Fitrah,831351.378,2024-08-29
R.A. LARAS LESTARI,"Gang Moch. Toha No. 365, Malang, KU 34518",(0136) 946-0094,Zakat Penghasilan,888281.581,2024-02-18
GHALIYATI NAPITUPULU,"Gang Rajawali Barat No. 286, Denpasar, Kepulauan Riau 34497",+62 (169) 919-6521,Zakat Perdagangan,422671.689,2025-01-31
DR. REKSA PRASETYO,"Jl. Merdeka No. 92, Serang, Nusa Tenggara Barat 30733",(067) 105 6190,Zakat Pertanian,91993.20900000002,2024-08-17
"IR. PARAMITA SETIAWAN, M.KOM.","Jalan Soekarno Hatta No. 103, Ternate, Jawa Timur 32905",(0405) 486-2082,Zakat Emas/Perak,886219.5540000001,2025-05-02
"DR. SURYA WIDIASTUTI, S.KOM","Jalan Wonoayu No. 168, Banda Aceh, Nusa Tenggara Timur 97196",+62-15-192-0020,Zakat Pertanian,201632.72800000003,2024-08-21
AKARSANA SIRAIT,"Jl. Pacuan Kuda No. 10, Pariaman, JT 77383",(006) 082-7782,Zakat Emas/Perak,850427.8640000001,2024-11-22
KH. PRANATA FARIDA,"Gang Kutisari Selatan No. 9, Magelang, LA 80927",+62 (012) 040 4317,Zakat Mal,1030256.4470000002,2025-03-02
"DR. TANIA AGUSTINA, S.SOS","Gg. Rungkut Industri No. 19, Sawahlunto, Sumatera Barat 02286",(028) 760-5966,Zakat Mal,279189.35000000003,2023-08-29
"JABAL SUSANTI, M.AK","Jl. Rumah Sakit No. 7, Kota Administrasi Jakarta Barat, Jambi 26371",(098) 002-5638,Zakat Fitrah,415248.251,2024-06-14
KAMIDIN WINARNO,"Gg. Veteran No. 78, Dumai, Sumatera Utara 83130",+62 (0220) 996 1448,Zakat Fitrah,816616.9440000001,2023-08-17
HJ. UMI ZULAIKA,"Gg. Rawamangun No. 554, Parepare, KI 23048",+62 (0879) 941-8162,Zakat Pertanian,886716.6880000001,2025-02-04
IR. ENDAH PERMADI,"Jalan Kutisari Selatan No. 4, Kota Administrasi Jakarta Selatan, BB 37592",+62-011-792-0410,Zakat Fitrah,639581.6790000001,2024-12-20
AJENG WULANDARI,"Jalan Rawamangun No. 9, Tomohon, Sulawesi Barat 72867",0839040314,Zakat Fitrah,420442.231,2023-07-04
AMI WASITA,"Jl. Stasiun Wonokromo No. 23, Magelang, Kalimantan Tengah 74940",(0552) 993 8541,Zakat Fitrah,63158.87600000001,2024-04-28
PARAMITA HALIM,"Gang Waringin No. 2, Lubuklinggau, SG 48767",+62-0302-847-2770,Zakat Mal,787007.9580000001,2023-06-29
"EVA PADMASARI, M.M.","Jalan Rumah Sakit No. 097, Kendari, AC 28062",+62-52-643-3374,Zakat Perdagangan,349862.09500000003,2023-08-07
T. BAKDA NAINGGOLAN,"Gg. Siliwangi No. 197, Malang, BE 00544",(0271) 329 0295,Zakat Perdagangan,788626.102,2024-08-24
"SAADAT WACANA, M.TI.","Gang Soekarno Hatta No. 74, Blitar, PB 89480",+62 (72) 977 3430,Zakat Perdagangan,133427.34900000002,2023-11-20
LIDYA PURWANTI,"Gg. Pacuan Kuda No. 266, Langsa, Sumatera Barat 51349",(009) 789 2735,Zakat Fitrah,490122.567,2023-09-27
DRS. USYI GUNARTO,"Jl. Siliwangi No. 6, Pagaralam, YO 35787",+62 (019) 514-7696,Zakat Penghasilan,530372.051,2023-10-26
WARSA SINAGA,"Jl. Pacuan Kuda No. 70, Jayapura, Papua 30513",+62 (0214) 586 2921,Zakat Fitrah,96662.203,2024-04-20
DACIN RAMADAN,"Jl. Joyoboyo No. 093, Dumai, BT 85476",+62 (0321) 854 6667,Zakat Fitrah,957249.843,2024-08-12
DRS. BAKIDIN WIBOWO,"Gg. Rungkut Industri No. 778, Tual, Nusa Tenggara Timur 64733",(0677) 634 8331,Zakat Pertanian,216450.707,2023-10-28
CAHYA SUSANTI,"Gg. Ciwastra No. 0, Tasikmalaya, Kepulauan Riau 26977",086 360 7726,Zakat Mal,1011645.569,2024-10-14
"T. MALIK HARIYAH, S.T.","Gang HOS. Cokroaminoto No. 6, Kota Administrasi Jakarta Barat, SG 10068",+62 (0428) 409-6945,Zakat Fitrah,987304.021,2024-08-20
HASNA ANGGRIAWAN,"Jalan Ahmad Dahlan No. 85, Bekasi, Maluku Utara 19798",+62-032-193-5098,Zakat Pertanian,946900.713,2024-07-12
ZAMIRA HIDAYAT,"Jalan Kebonjati No. 31, Kupang, Jawa Tengah 04217",+62-001-342-0043,Zakat Penghasilan,914323.685,2024-05-29
HARJA UTAMI,"Jl. Pelajar Pejuang No. 0, Pekalongan, Riau 96586",+62 (005) 167-5486,Zakat Pertanian,828194.7960000001,2024-04-02
"DR. PANDU UYAINAH, S.PT","Jalan Ronggowarsito No. 16, Surakarta, Kepulauan Bangka Belitung 20389",+62 (83) 499-8009,Zakat Penghasilan,185601.39400000003,2024-06-16
"GARDA SAEFULLAH, S.PSI","Gg. Rajawali Barat No. 78, Tanjungbalai, KB 16312",+62 (830) 989-2412,Zakat Perdagangan,736406.143,2024-04-06
NASIM UWAIS,"Jl. Kiaracondong No. 34, Pariaman, Sumatera Barat 71688",+62 (97) 588-6799,Zakat Fitrah,79535.98400000001,2023-11-20
"WAKIMAN NURDIYANTI, S.GZ","Gang Gedebage Selatan No. 3, Cimahi, Sumatera Utara 89272",(035) 439-7606,Zakat Mal,265631.168,2023-07-18
"VIMAN NASHIRUDDIN, S.T.","Jalan Moch. Toha No. 771, Lhokseumawe, YO 20006",(023) 785-6066,Zakat Mal,1044555.061,2024-09-19
"ULVA ANGGRAINI, S.T.","Gg. PHH. Mustofa No. 062, Pekalongan, Kalimantan Timur 92320",+62 (0519) 727 8342,Zakat Emas/Perak,648344.0480000001,2024-08-05
FITRIANI WIDIASTUTI,"Jl. Pacuan Kuda No. 5, Ternate, GO 06637",(038) 185 9458,Zakat Fitrah,983041.301,2024-05-07
DANUJA NUGROHO,"Jalan Jend. Sudirman No. 8, Bukittinggi, Riau 41581",+62 (032) 851 7581,Zakat Perdagangan,376932.127,2023-05-21
"KASUSRA HARTATI, S.KED","Gg. Cikutra Barat No. 39, Padangpanjang, Jambi 76509",+62-014-785-2268,Zakat Pertanian,876713.596,2023-12-27
JULIA WIBOWO,"Jalan Jamika No. 09, Pangkalpinang, MA 75149",081 710 0218,Zakat Pertanian,594042.2730000002,2023-10-08
PRANAWA TARIHORAN,"Gang Rajiman No. 155, Tomohon, Kepulauan Riau 05576",+62-20-171-6721,Zakat Perdagangan,624284.672,2024-09-05
"PAULIN KUSWANDARI, S.PD","Gang Abdul Muis No. 859, Denpasar, KI 58781",+62 (084) 491 6250,Zakat Mal,1002708.058,2023-06-12
"TGK. GABRIELLA JAILANI, S.PT","Gang Rawamangun No. 2, Tarakan, Bali 94962",+62 (048) 088 9992,Zakat Perdagangan,1056766.128,2023-08-21
NADIA HALIM,"Jl. Yos Sudarso No. 77, Kota Administrasi Jakarta Barat, Papua Barat 72461",(028) 296 3046,Zakat Penghasilan,941777.199,2023-12-27
"DR. FITRIA PUSPITA, S.GZ","Gg. Ahmad Yani No. 8, Malang, KR 03306",+62 (99) 869 1737,Zakat Perdagangan,419624.73300000007,2023-06-05
"EDWARD HASSANAH, S.KED","Gg. Veteran No. 71, Ternate, BT 74318",+62-069-074-7917,Zakat Emas/Perak,622708.746,2023-07-01
"CAYADI MARPAUNG, S.KOM","Jl. Siliwangi No. 131, Kota Administrasi Jakarta Timur, KR 75222",(0662) 611 8786,Zakat Fitrah,414331.434,2023-08-03
